NIF	Compra	Loja
242904518	Requeijão: 6, Pães: 4, Hidratante: 9, Cotonete: 7, Linguiça: 8, Amaciador: 9, Cenoura: 3, Pano de limpeza: 4	Continente
540355911	Álcool: 9	Intermarché
472168718	Iogurte: 4, Condicionador: 5	Continente
731028415	Leite: 9, Requeijão: 8, Sumo: 10, Lentilha: 10, Amaciador: 6, Banana: 6, Chuchu: 6, Pães: 10, Biscoito: 5, Gel: 6	Intermarché
549199699	Azeitona: 5, Salsinha: 9, Papel higiênico: 7, Rúcula: 4, Mostarda: 5, Abacate: 1, Lenço de papel: 7, Escova de dentes: 9, Cenoura: 5	Continente
883458176	Cogumelos: 6, Farinha de mandioca: 3, Sal grosso: 5, Requeijão: 5, Agrião: 2, Licor: 3	Intermarché
511718284	Chocolate: 8, Chuchu: 7, Abacaxi: 7, Shampoo: 2, Queijo: 4, Lixa: 2	Pingo Doce
454952865	Farinha de rosca: 7, Saco de lixo: 8, Cortador de unhas: 3, Adoçante: 1, Leite: 4, Gelatina: 5, Bombom: 4, Fio-dental: 5, Fermento: 7, Chocolate: 10	Intermarché
376335469	Frutas secas: 1, Shampoo: 10, Aparelho de barbear: 2, Sal grosso: 3	Pingo Doce
598582427	Cenoura: 4, Bovina: 1, Talco: 10, Bombom: 3	Continente
746361209	Sal: 10	Intermarché
447756631	Maionese: 7, Pente: 1, Pepino: 3, Café: 4, Champanhe: 6, Azeitona: 5, Purificador de ambientes: 3, Chuchu: 8, Ervilha: 4	Pingo Doce
836529000	Sumo: 7, Licor: 5, Batata palha: 6, Cebola: 1, Abóbora: 7, Espinafre: 9	Intermarché
460988128	Atum: 10, Chuchu: 1, Ervilha: 2, Talco: 10, Sal grosso: 6, Purificador de ambientes: 1, Sabonete: 2	Pingo Doce
550168315	Açúcar: 3, Lâmina de barbear: 1, Guardanapos: 9	Pingo Doce
140285249	Maçã: 7, Rúcula: 2, Velas: 7	Pingo Doce
997055831	Requeijão: 8, Cotonete: 10, Condicionador: 3, Porco: 6, Limpa-vidro: 1, Leite condensado: 8, Pimentão: 3, Sumo: 6, Baunilha: 3	Intermarché
498206631	Batata palha: 4, Leite de coco: 5, Água de coco: 3, Escova de dentes: 6, Purificador de ambientes: 1, Melância: 2, Frutas secas: 7, Vassoura: 9	Pingo Doce
