NIF	Compra	Loja
660853385	Champanhe: 8, ?gua t?nica: 1, Refrigerante: 9, Mostarda: 4, Aparelho de barbear: 8, Esponja: 9	Continente
214454642	Leite condensado: 5, Baunilha: 5, Pat?: 1, Pente: 3, ?gua t?nica: 8, Vassoura: 8	Continente
412725755	Frango: 9, Inseticida: 5, Escova de dentes: 9	Intermarché
301871979	Mam?o: 9, Fio-dental: 7, Azeitona: 7, Sardinha: 10, Ado?ante: 1, Hamb?rguer: 5, Berinjela: 7, Doces: 6	Pingo Doce
598185427	Hidratante: 4	Intermarché
322491925	Iogurte: 4, Pano de limpeza: 7, Acetona: 3	Pingo Doce
358894193	Mel?o: 3, Atum: 6, Desinfetante: 9, Carv?o: 9, Vodca: 9, Ma??: 10, Cogumelos: 10, Fio-dental: 7	Pingo Doce
360494812	Cereal: 5, Couve: 6, Bacon: 8, Chuchu: 9, Temperinho verde: 5, Cortador de unhas: 9, Margarina: 6, Licor: 2	Continente
340927706	Bombom: 3	Pingo Doce
626906885	Leite condensado: 3, Temperinho verde: 1, L?mina de barbear: 3, Vinho: 9, Tomate: 7, Chocolate: 9, Desinfetante: 3, Biscoito: 7, Chuchu: 8	Pingo Doce
273648515	Salame: 8, Ma??: 9, Refrigerante: 4	Intermarché
160422922	Couve: 5, ?gua: 3, Cogumelos: 6, Refrigerante: 8, Lingui?a: 9, Vodca: 3, Batata palha: 7	Intermarché
976696379	Limpa-vidro: 8, Sardinha: 1, Fio-dental: 5, Presunto: 8, Margarina: 9, Biscoitos: 7, Beterraba: 3, Ado?ante: 6, Manteiga: 10, Batata palha: 4	Continente
890265609	Vassoura: 5, P?es: 7, Bolos: 1, Mortadela: 2, Molho: 7, Salame: 1, Fio-dental: 8, Queijo ralado: 6	Intermarché
318863002	Ovos: 3	Pingo Doce
710321291	Goiaba: 1, Tempero: 6, Polpa de tomate: 9, F?sforo: 10	Continente
496203740	?gua: 9, Pente: 5, Abacate: 9, Lava-roupas: 4, Coco ralado: 6, Agri?o: 8, U?sque: 8	Pingo Doce
142580625	Desodorizante: 7	Continente
668485862	Sumo: 1, Arroz: 9, Gel: 5, Espinafre: 2, Manteiga: 4, Sal: 6, Geleia: 1, Desodorizante: 1, Shampoo: 4, Cogumelos: 5	Pingo Doce
751014610	Mam?o: 9, ?gua: 3, Lixa: 10, Maionese: 8, Cenoura: 2, Preservativo: 7	Pingo Doce
441884545	Peixe: 7	Intermarché
299273708	Leite de coco: 10, Leite condensado: 1, Piment?o: 7, Farinha de rosca: 6	Intermarché
273648515	Len?o de papel: 3, Margarina: 3, Baunilha: 3, Ketchup: 5, Ervilha: 5	Intermarché
138715597	Antiss?ptico: 6, Caldo: 4, Salgados: 8, Repolho: 8, Pilhas: 6, Margarina: 9, Abacaxi: 1, Sal grosso: 9, Lentilha: 9	Continente
604912454	Abacaxi: 10, Polvilho: 3, Ketchup: 5, Iogurte: 8, Lentilha: 1, Carv?o: 2	Intermarché
824848538	?gua de coco: 3, Feij?o: 3, Azeitona: 4, Bombom: 3, Abacaxi: 5, Sab?o em p?: 10	Intermarché
907718491	Banana: 3, Frango: 3	Pingo Doce
487514856	Hidratante: 9, Licor: 3, Talco: 5, U?sque: 7, Ketchup: 7, Pilhas: 4	Intermarché
293575765	Batata: 9, Doces: 6	Pingo Doce
539654238	Sal grosso: 5	Pingo Doce
632505874	Pat?: 6, Len?o de papel: 5, Pepino: 10	Pingo Doce
920811179	Azeitona: 9, Gordura vegetal: 2, Batata palha: 7, Mostarda: 3, Geleia: 5, Licor: 2, Champanhe: 3, Alho: 10, Abacate: 4, Leite: 6	Continente
910264768	Preservativo: 2, Rum: 1, Lingui?a: 2, Mel?o: 2	Pingo Doce
837917463	Licor: 6, Atum: 2, Leite condensado: 8, Chuchu: 10, Repolho: 7, Condicionador: 10, Laranja: 4, Arroz: 7, Couve: 8, Leite: 5	Continente
851266191	Peito de peru: 9, Antiss?ptico: 10, Saco de lixo: 10, Pat?: 6, Mel?ncia: 10	Intermarché
369520031	Ado?ante: 6, Antiss?ptico: 8, Pente: 3, Sal grosso: 3, Piment?o: 6, Palito de dente: 9, P?es: 4, Preservativo: 4, Lava-roupas: 3, Mortadela: 10	Pingo Doce
209340022	Laranja: 4, R?cula: 7, Sal grosso: 5, Chuchu: 8, Leite: 6, Vagem: 10, Vinho: 3, Pano de limpeza: 2, Abacate: 5	Pingo Doce
472637433	Atum: 1, Polpa de tomate: 8	Continente
516634904	Cortador de unhas: 8, Guardanapos: 7, Aparelho de barbear: 9, Velas: 8, Desinfetante: 3, Atum: 5, Frango: 8, Champanhe: 4	Continente
412181057	R?cula: 7, Salsicha: 1, Lixa: 2, Bacon: 2, Carv?o: 7	Pingo Doce
757022792	Lava-roupas: 5, Leite: 4, Toalha de papel: 5, Frutas secas: 2	Continente
628639146	Len?o de papel: 3, Toalha de papel: 4, Farinha de mandioca: 3, Salsinha: 8, Atum: 4, Ab?bora: 9, Lentilha: 4, Macarr?o: 6, Vodca: 5, Escova de dentes: 3	Intermarché
301257534	Leite de coco: 10, Rum: 1, Cebola: 2, Molho: 3, Pepino: 2, Requeij?o: 3	Pingo Doce
870487714	Milho: 6, Sab?o em p?: 9, Inseticida: 10, Maionese: 4, Guardanapos: 7, Leite de coco: 5, Creme de leite: 9, Cenoura: 10	Continente
623759300	Acetona: 3	Intermarché
432021736	Ch?: 6	Continente
832823033	Caf?: 9, Amaciador: 5, Abacate: 1, Nata: 9, Pano de limpeza: 2, Macarr?o: 6, A??car: 5, Coco ralado: 5, Arroz: 2	Continente
226386033	Espinafre: 4, Guardanapos: 1, Farinha de rosca: 9, Sab?o em p?: 3	Intermarché
899073883	Batata palha: 4, Espinafre: 10, Gelatina: 7, Amaciador: 6, Acetona: 7, Queijo ralado: 9	Intermarché
259828722	Guardanapos: 4, P?ra: 2, Polpa de tomate: 8	Intermarché
320025978	Fermento: 4	Intermarché
311720263	Cogumelos: 3	Continente
712413674	Mam?o: 3, Cortador de unhas: 9, Creme de barbear: 2, Maionese: 4, Saco de lixo: 10, Fermento: 6, Ketchup: 7, Biscoitos: 6, Hamb?rguer: 3	Continente
355908891	Batata palha: 9, Lixa: 7, Leite: 9	Pingo Doce
848563156	Sal: 7	Continente
642771050	Salsicha: 2, Hidratante: 10, Shampoo: 9, Biscoito: 10, Batata palha: 7	Intermarché
915512714	Lava-roupas: 7, Baunilha: 6, Chocolate granulado: 1, Sab?o em p?: 7, Batata palha: 2, Mel?ncia: 10, Papel higi?nico: 6	Continente
130804376	Caldo: 3, Presunto: 9, Queijo: 9, Salame: 2, Sopa: 7	Continente
